# External inputs consumed by the real-data path (docs/REAL_DATA.md), one
# row per artifact, named exactly as the scripts reference it. Checksums and
# accessions are filled only where the repo records them: the Pan-UKB files
# carry published MD5s (scripts/panukb_checksums.tsv); everything else says
# 'unrecorded', and sources the repo does not record are UNKNOWN rather than
# guessed. Column semantics: results/schema.md, 'Input manifest'.
artifact	role	source_url_or_accession	checksum_md5	date_recorded
GIANT_HEIGHT_2014.txt.gz	consortium GWAS sumstats: height (GIANT 2014, Wood et al.)	UNKNOWN	unrecorded	2026-08-16
GIANT_BMI_2015.txt.gz	consortium GWAS sumstats: BMI (GIANT 2015, Locke et al.)	UNKNOWN	unrecorded	2026-08-16
GLGC_LDL_2013.txt.gz	consortium GWAS sumstats: LDL (GLGC 2013, Teslovich et al.)	UNKNOWN	unrecorded	2026-08-16
CARDIO_CAD_2015_build37.tsv.gz	consortium GWAS sumstats: CAD (CARDIoGRAMplusC4D 2015, Nikpay et al.)	GCST003116	unrecorded	2026-08-16
DIAGRAM_T2D_2017.txt	consortium GWAS sumstats: T2D (DIAGRAM 2017, Scott et al.)	UNKNOWN	unrecorded	2026-08-16
BCAC_2017_build37.tsv.gz	consortium GWAS sumstats: BrCa (BCAC 2017, Michailidou et al.)	GCST004988	unrecorded	2026-08-16
PGS002146_hmPOS_GRCh37.txt	PGS Catalog weights: height score (PGS002146, LDpred2/UKBB)	https://www.pgscatalog.org/score/PGS002146/	unrecorded	2026-08-16
PGS002161_hmPOS_GRCh37.txt	PGS Catalog weights: BMI score (PGS002161, LDpred2/UKBB)	https://www.pgscatalog.org/score/PGS002161/	unrecorded	2026-08-16
PGS002150_hmPOS_GRCh37.txt	PGS Catalog weights: LDL score (PGS002150, LDpred2/UKBB)	https://www.pgscatalog.org/score/PGS002150/	unrecorded	2026-08-16
PGS002048_hmPOS_GRCh37.txt	PGS Catalog weights: CAD score (PGS002048, LDpred2/UKBB)	https://www.pgscatalog.org/score/PGS002048/	unrecorded	2026-08-16
PGS002026_hmPOS_GRCh37.txt	PGS Catalog weights: T2D score (PGS002026, LDpred2/UKBB)	https://www.pgscatalog.org/score/PGS002026/	unrecorded	2026-08-16
PGS002015_hmPOS_GRCh37.txt	PGS Catalog weights: BrCa score (PGS002015, LDpred2/UKBB)	https://www.pgscatalog.org/score/PGS002015/	unrecorded	2026-08-16
PGS002228_hmPOS_GRCh37.txt	PGS Catalog weights: SBP score (PGS002228, LDpred2/UKBB)	https://www.pgscatalog.org/score/PGS002228/	unrecorded	2026-08-16
PGS002061_hmPOS_GRCh37.txt	PGS Catalog weights: asthma score (PGS002061, LDpred2/UKBB)	https://www.pgscatalog.org/score/PGS002061/	unrecorded	2026-08-16
PGS002036_hmPOS_GRCh37.txt	PGS Catalog weights: MDD score (PGS002036, LDpred2/UKBB)	https://www.pgscatalog.org/score/PGS002036/	unrecorded	2026-08-16
map_hm3_plus.rds	bigsnpr HM3+ variant map (chr/pos/rsid/block_id; also the HM3+ refset for the prep filters)	doi:10.6084/m9.figshare.37802721	unrecorded	2026-08-16
LD_with_blocks_chr1.rds	bigsnpr HM3+ EUR LD correlations, chr1 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr2.rds	bigsnpr HM3+ EUR LD correlations, chr2 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr3.rds	bigsnpr HM3+ EUR LD correlations, chr3 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr4.rds	bigsnpr HM3+ EUR LD correlations, chr4 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr5.rds	bigsnpr HM3+ EUR LD correlations, chr5 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
LD_with_blocks_chr6.rds	bigsnpr HM3+ EUR LD correlations, chr6 (UK Biobank; converted to ppb int8 blocks)	doi:10.6084/m9.figshare.21305061	unrecorded	2026-08-16
